Year,County,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Location,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Weapon.1,Firearm.1,Knife or Cutting Instrument.1,Other Weapon.1,Hands  Fists  Feet,Property Crimes,Burglary,Means of Entry,Forcible Entry,No Force,Location / Time,Residence.1,Night,Day,Unknown,Non-Residence,Night.1,Day.1,Unknown.1,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Type,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other.1,Value,Over $400,Over $200,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
1985,Alameda,"11,628",143.0,791.0,629.0,162.0,"5,427",,"1,991",493,207.0,"2,736",,"2,656",646,217.0,189.0,468.0,87.0,"1,164","5,267",,777,628,"1,415","2,447","89,297","24,997",,"17,979","7,018",,"17,271","4,575","10,229","2,467","7,726","3,165","2,983","1,578","7,142","5,244",616,"1,282","57,158",,727,639.0,"7,109","18,796","5,728","3,926","10,664",406,"9,163",,"7,744",0,"7,787","14,473","27,154","1,063",540.0,274.0,249
1985,Alpine,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,1.0,2.0,5.0,288.0,27.0,,13.0,14.0,,12.0,0.0,2.0,10.0,15.0,11.0,1.0,3.0,6.0,2.0,0.0,4.0,255.0,,0.0,0.0,0.0,56.0,7.0,1.0,40.0,21.0,130.0,,64.0,0.0,109.0,53.0,29.0,0.0,0.0,0.0,0.0
1985,Amador,79.0,3.0,1.0,1.0,0.0,4.0,,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,71.0,,4.0,2.0,9.0,56.0,575.0,201.0,,142.0,59.0,,119.0,18.0,24.0,77.0,82.0,52.0,9.0,21.0,28.0,15.0,7.0,6.0,346.0,,1.0,1.0,28.0,53.0,33.0,2.0,80.0,9.0,139.0,,98.0,0.0,48.0,92.0,108.0,2.0,2.0,0.0,0.0
1985,Butte,614,3,68,48,20,111,,45,7,8,51,,22,14,7,8,24,4,32,432,,62,51,159,160,"8,482","2,653",,"1,583","1,070",,"1,615",393,487,735,"1,038",515,102,421,438,244,59,135,"5,391",,8,22,679,"1,178",478,"1,161",493,32,"1,340",,940,0,987,"1,799","1,665",119,33,20,66
1985,Calaveras,214.0,19.0,8.0,7.0,1.0,3.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,184.0,,12.0,7.0,47.0,118.0,922.0,486.0,,319.0,167.0,,307.0,37.0,63.0,207.0,179.0,68.0,31.0,80.0,42.0,17.0,16.0,9.0,394.0,,0.0,0.0,11.0,55.0,45.0,10.0,92.0,5.0,176.0,,110.0,0.0,65.0,109.0,110.0,21.0,2.0,1.0,18.0
1985,Colusa,48.0,2.0,6.0,5.0,1.0,2.0,,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,,5.0,2.0,7.0,24.0,625.0,197.0,,144.0,53.0,,69.0,32.0,14.0,23.0,128.0,70.0,6.0,52.0,39.0,22.0,10.0,7.0,389.0,,1.0,4.0,10.0,87.0,39.0,44.0,59.0,14.0,131.0,,99.0,0.0,57.0,138.0,95.0,3.0,0.0,3.0,0.0
1985,Contra Costa,"4,901",62,303,221,82,"1,880",,692,213,129,846,,959,265,86,151,185,31,203,"2,656",,407,535,"1,150",564,"40,372","11,999",,"8,546","3,453",,"8,482","2,613","3,711","2,158","3,517","1,636",630,"1,251","2,948","2,085",392,471,"25,425",,215,229,"4,206","7,504","3,598","1,906","3,614",242,"3,911",,"5,110",0,"4,400","7,047","8,868",421,163,104,154
1985,Del Norte,106.0,3.0,8.0,5.0,3.0,8.0,,3.0,2.0,0.0,3.0,,4.0,1.0,0.0,0.0,3.0,0.0,0.0,87.0,,13.0,13.0,24.0,37.0,958.0,385.0,,221.0,164.0,,190.0,39.0,39.0,112.0,195.0,113.0,37.0,45.0,50.0,19.0,15.0,16.0,523.0,,1.0,4.0,84.0,91.0,24.0,78.0,125.0,10.0,106.0,,90.0,0.0,80.0,182.0,171.0,11.0,9.0,0.0,2.0
1985,El Dorado,292,8.0,23,22.0,1.0,72,,34,7,4.0,27,,20,19,2.0,1.0,14.0,7.0,9,189,,31,27,56,75,"4,577","1,863",,"1,291",572,,936,154,294,488,927,317,220,390,242,114,77,51,"2,472",,2,8,251,456,205,150,470,52,878,,533.0,0,476.0,608,855,30,18.0,4.0,8
1985,Fresno,"4,068",80.0,325.0,258.0,67.0,"1,536",,693,267,90.0,486,,694,322,68.0,177.0,165.0,38.0,72,"2,127",,351,445,566,765,"41,388","13,649",,"10,869","2,780",,"9,942","3,344","3,820","2,778","3,707","2,197",273,"1,237","2,693","1,636",684,373,"25,046",,85,222,"4,964","6,179","3,970","2,500","3,433",86,"3,607",,"4,607",0,"4,390","6,977","9,072",615,148.0,237.0,230
1985,Glenn,94.0,2.0,8.0,5.0,3.0,10.0,,1.0,4.0,0.0,5.0,,4.0,1.0,1.0,1.0,2.0,1.0,0.0,74.0,,3.0,6.0,7.0,58.0,804.0,310.0,,217.0,93.0,,205.0,136.0,42.0,27.0,105.0,90.0,5.0,10.0,33.0,18.0,10.0,5.0,461.0,,2.0,2.0,61.0,55.0,38.0,47.0,114.0,1.0,141.0,,109.0,0.0,40.0,135.0,177.0,2.0,2.0,0.0,0.0
1985,Humboldt,495,7,38,28,10,59,,22,9,1,27,,26,8,3,5,11,1,5,391,,39,38,94,220,"5,942","1,790",,"1,089",701,,"1,129",317,303,509,661,427,63,171,263,126,64,73,"3,889",,1,8,633,943,419,428,588,64,805,,554,0,595,"1,176","1,564",139,37,16,86
1985,Imperial,565,5,32,24,8,152,,30,32,13,77,,77,19,6,4,22,1,23,376,,41,93,179,63,"9,103","2,827",,"2,235",592,,"1,818",672,825,321,"1,009",473,337,199,530,269,182,79,"5,746",,19,66,831,"1,294",725,"1,128",497,46,"1,140",,795.0,0,826.0,"2,038","2,087",67,24,23,20
1985,Inyo,50.0,2.0,5.0,2.0,3.0,2.0,,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,,5.0,3.0,16.0,17.0,481.0,110.0,,53.0,57.0,,49.0,16.0,14.0,19.0,61.0,33.0,4.0,24.0,22.0,12.0,6.0,4.0,349.0,,0.0,0.0,39.0,70.0,33.0,37.0,64.0,5.0,101.0,,68.0,0.0,56.0,108.0,117.0,8.0,3.0,2.0,3.0
1985,Kern,"3,471",56.0,215.0,145.0,70.0,"1,149",,334,202.0,135.0,478,,384,124.0,34.0,188.0,135.0,13.0,271.0,"2,051",,199,246,564,"1,042","29,388","9,439",,"6,017","3,422",,"6,298","1,780","2,214","2,304","3,141","1,396",490,"1,255","1,993","1,229",343,421,"17,956",,25.0,150.0,"3,331","2,944","1,925","1,899","1,924",73,"5,685",,"3,208",0,"2,698","4,474","7,576",995,194.0,139.0,662
1985,Kings,462,6.0,27,22.0,5.0,80,,23,10,6.0,41,,16,14,3.0,6.0,12.0,0.0,29,349,,26,47,71,205,"4,110","1,163",,727,436,,711,287,188,236,452,256,55,141,213,103,48,62,"2,734",,3,32,439,397,490,448,338,26,561,,287.0,0,422.0,"1,034",991,29,16.0,6.0,7
1985,Lake,403.0,1.0,14.0,13.0,1.0,23.0,,6.0,4.0,3.0,10.0,,2.0,3.0,6.0,1.0,6.0,0.0,5.0,365.0,,22.0,25.0,52.0,266.0,"2,480","1,010",,702.0,308.0,,692.0,145.0,114.0,433.0,318.0,170.0,18.0,130.0,126.0,68.0,32.0,26.0,"1,344",,2.0,4.0,244.0,228.0,113.0,91.0,175.0,14.0,473.0,,261.0,0.0,181.0,362.0,540.0,24.0,15.0,3.0,6.0
1985,Lassen,147.0,1.0,9.0,9.0,0.0,5.0,,1.0,1.0,0.0,3.0,,2.0,0.0,1.0,0.0,0.0,0.0,2.0,132.0,,12.0,13.0,17.0,90.0,556.0,210.0,,132.0,78.0,,114.0,31.0,31.0,52.0,96.0,63.0,14.0,19.0,34.0,18.0,10.0,6.0,312.0,,2.0,2.0,47.0,59.0,38.0,15.0,68.0,0.0,81.0,,64.0,0.0,42.0,104.0,102.0,3.0,2.0,0.0,1.0
1985,Los Angeles,"95,908","1,326","4,448","3,182","1,266","47,323",,"15,918","6,963","4,779","19,663",,"28,779","6,484","1,098","2,429","4,166",875,"3,492","42,811",,"11,234","9,471","13,095","9,011","488,535","143,524",,"106,100","37,424",,"92,935","24,387","51,678","16,870","50,589","23,272","12,577","14,740","90,050","67,131","17,042","5,877","254,961",,"2,973","4,757","29,902","97,160","29,224","17,900","41,183",628,"31,234",,"80,647",0,"37,014","59,612","77,688","8,557","3,328","2,376","2,853"
1985,Madera,613,7,20,18,2,118,,32,27,15,44,,71,4,5,11,13,1,13,468,,54,53,88,273,"3,117","1,363",,978,385,,888,237,396,255,475,224,68,183,180,95,52,33,"1,574",,11,17,362,268,127,105,168,40,476,,321.0,0,213.0,411,629,33,8,19,6
1985,Marin,607,10,33,24,9,172,,64,20,11,77,,36,16,19,11,31,10,49,392,,23,52,137,180,"8,102","2,184",,"1,376",808,,"1,447",399,697,351,737,376,155,206,481,307,70,104,"5,437",,28,22,"1,019","1,327",393,633,977,62,976,,"1,301",0,861,"1,381","1,894",71,26,14,31
1985,Mariposa,34.0,2.0,3.0,3.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,,7.0,4.0,12.0,5.0,214.0,91.0,,47.0,44.0,,59.0,13.0,16.0,30.0,32.0,13.0,2.0,17.0,17.0,4.0,5.0,8.0,106.0,,0.0,1.0,14.0,20.0,8.0,1.0,26.0,0.0,36.0,,34.0,0.0,16.0,28.0,28.0,33.0,4.0,0.0,29.0
1985,Mendocino,255.0,7.0,24.0,19.0,5.0,34.0,,15.0,8.0,5.0,6.0,,7.0,6.0,0.0,5.0,11.0,2.0,3.0,190.0,,29.0,26.0,65.0,70.0,"2,933",914,,521.0,393.0,,455.0,88.0,129.0,238.0,459.0,234.0,66.0,159.0,147.0,74.0,28.0,45.0,"1,872",,2.0,1.0,370.0,322.0,173.0,184.0,255.0,18.0,547.0,,251.0,0.0,372.0,497.0,752.0,26.0,15.0,3.0,8.0
1985,Merced,509,13.0,45.0,33.0,12.0,126,,35,16,8.0,67,,69,11,6.0,4.0,14.0,3.0,19,325,,33,76,117,99,"6,792","1,848",,"1,199",649,,"1,032",409,394,229,816,397,263,156,330,202,53,75,"4,614",,7,59,677,779,655,741,580,44,"1,072",,536,0,629,"1,315","2,134",42,19.0,13.0,10
1985,Modoc,40.0,1.0,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,,2.0,0.0,5.0,30.0,256.0,107.0,,65.0,42.0,,44.0,16.0,8.0,20.0,63.0,46.0,5.0,12.0,13.0,10.0,1.0,2.0,136.0,,0.0,0.0,8.0,42.0,11.0,4.0,28.0,2.0,41.0,,40.0,0.0,26.0,38.0,32.0,4.0,1.0,3.0,0.0
1985,Mono,37.0,0.0,3.0,2.0,1.0,2.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32.0,,0.0,3.0,8.0,21.0,574.0,208.0,,99.0,109.0,,98.0,22.0,29.0,47.0,110.0,45.0,35.0,30.0,19.0,11.0,2.0,6.0,347.0,,0.0,0.0,7.0,57.0,15.0,8.0,107.0,1.0,152.0,,116.0,0.0,94.0,79.0,58.0,1.0,0.0,0.0,1.0
1985,Monterey,"1,854",26,121,94,27,455,,153,82,35,185,,140,61,23,24,45,7,155,"1,252",,118,240,440,454,"15,993","4,247",,"3,068","1,179",,"2,709",698,"1,188",823,"1,538",773,222,543,684,469,90,125,"11,062",,44,53,"2,146","2,600","1,863","1,178","1,213",49,"1,916",,"2,253",0,"1,857","3,034","3,918",178,66,39,73
1985,Napa,492,4,30,22,8,34,,10,9,0,15,,1,2,4,2,6,1,18,424,,19,30,48,327,"4,704","1,211",,726,485,,763,227,270,266,448,254,44,150,302,187,45,70,"3,191",,22,9,429,383,451,468,552,20,857,,515.0,0,640.0,924,"1,112",34,13,4,17
1985,Nevada,202.0,6.0,10.0,5.0,5.0,16.0,,5.0,2.0,2.0,7.0,,6.0,0.0,1.0,0.0,5.0,2.0,2.0,170.0,,20.0,19.0,33.0,98.0,"2,211",686.0,,499.0,187.0,,386.0,68.0,106.0,212.0,300.0,222.0,31.0,47.0,136.0,76.0,26.0,34.0,"1,389",,2.0,4.0,180.0,336.0,98.0,53.0,361.0,12.0,343.0,,368.0,0.0,271.0,322.0,428.0,29.0,8.0,6.0,15.0
1985,Orange,"8,573",115,545,370,175,"3,746",,"1,803",614,290,"1,039",,"1,198","1,010",204,376,302,197,459,"4,167",,659,751,"1,534","1,223","117,768","34,296",,"22,913","11,383",,"22,669","5,809","10,946","5,914","11,627","4,733","2,578","4,316","11,320","6,862","2,852","1,606","72,152",,250,497,"10,057","16,435","14,947","7,312","9,600",397,"12,657",,"14,810",0,"11,526","20,841","24,975","1,463",465,293,705
1985,Placer,516,8.0,19,18.0,1.0,80,,35,9,8.0,28,,20,17,3.0,9.0,11.0,3.0,17,409,,45,32,105,227,"5,995","1,845",,"1,225",620,,"1,160",262,413,485,685,344,95,246,354,193,103,58,"3,796",,14,13,537,921,393,249,590,37,"1,042",,828,0,640,943,"1,385",100,12.0,9.0,79
1985,Plumas,49.0,0.0,2.0,1.0,1.0,4.0,,0.0,2.0,0.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0,,4.0,8.0,16.0,15.0,900.0,250.0,,166.0,84.0,,108.0,29.0,28.0,51.0,142.0,77.0,16.0,49.0,18.0,13.0,3.0,2.0,632.0,,1.0,1.0,30.0,50.0,15.0,62.0,54.0,3.0,416.0,,68.0,0.0,173.0,94.0,297.0,1.0,1.0,0.0,0.0
