table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Counties in California: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010  Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020 Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
California,"37,254,522","37,322,523","37,651,212","37,971,412","38,292,557","38,637,421","38,966,939","39,223,789","39,424,315","39,535,920","39,547,995","39,538,265"
".Alameda County, California","1,510,283","1,513,413","1,532,981","1,557,493","1,584,943","1,614,744","1,643,103","1,661,218","1,671,949","1,680,392","1,683,879","1,682,370"
".Alpine County, California","1,175","1,164","1,105","1,132","1,160","1,122","1,128","1,110","1,183","1,157","1,198","1,202"
".Amador County, California","38,091","37,893","37,593","37,201","36,763","36,916","37,263","37,711","38,859","39,702","40,089","40,473"
".Butte County, California","220,005","219,883","219,639","220,257","220,755","222,355","223,198","224,502","226,704","228,059","216,181","211,631"
".Calaveras County, California","45,577","45,442","45,033","44,588","44,328","44,246","44,440","44,674","44,923","44,911","45,181","45,282"
".Colusa County, California","21,407","21,442","21,350","21,338","21,331","21,276","21,356","21,653","21,762","21,622","21,735","21,830"
".Contra Costa County, California","1,049,188","1,052,827","1,066,922","1,080,252","1,097,315","1,113,976","1,130,708","1,145,072","1,154,685","1,161,151","1,164,443","1,165,946"
".Del Norte County, California","28,610","28,562","28,418","28,144","27,747","27,085","27,078","27,272","27,217","27,604","27,691","27,744"
".El Dorado County, California","181,079","181,113","180,727","180,188","180,915","182,354","183,635","184,846","187,423","189,366","191,309","191,188"
".Fresno County, California","930,503","932,202","940,206","946,501","953,630","963,323","972,906","981,015","990,274","997,611","1,004,925","1,008,653"
".Glenn County, California","28,121","28,139","28,203","27,966","27,971","28,047","28,025","28,156","28,294","28,374","28,977","28,918"
".Humboldt County, California","134,613","135,039","135,405","134,864","134,832","135,060","135,800","137,219","137,570","137,481","136,936","136,455"
".Imperial County, California","174,522","174,685","175,635","176,314","176,052","177,459","178,297","179,400","180,693","180,428","179,727","179,707"
".Inyo County, California","18,533","18,527","18,505","18,560","18,659","18,688","18,601","18,497","18,515","18,685","18,881","19,022"
".Kern County, California","839,619","841,561","849,631","856,159","865,279","873,174","880,669","886,002","893,009","900,095","906,160","909,226"
".Kings County, California","152,990","152,335","151,740","150,814","150,135","149,239","149,795","149,073","149,314","150,962","152,437","152,490"
".Lake County, California","64,662","64,827","64,713","64,785","64,994","65,602","66,176","66,187","66,770","67,396","67,829","68,161"
".Lassen County, California","34,895","34,891","34,552","34,193","32,953","32,744","32,589","32,302","32,760","32,753","33,043","32,733"
".Los Angeles County, California","9,818,646","9,822,769","9,879,322","9,941,529","10,001,824","10,052,585","10,100,900","10,123,015","10,125,014","10,098,683","10,053,252","10,014,010"
".Madera County, California","150,834","150,972","151,517","151,216","150,857","152,783","152,739","152,851","154,100","155,260","155,469","156,256"
".Marin County, California","252,425","253,015","255,926","257,071","259,862","262,261","263,269","263,455","263,145","263,698","263,129","262,321"
".Mariposa County, California","18,271","18,301","18,193","17,901","17,825","17,725","17,628","17,468","17,426","17,322","17,073","17,134"
".Mendocino County, California","87,850","87,926","87,989","88,471","88,772","89,473","89,880","90,592","91,487","91,870","91,775","91,587"
".Merced County, California","255,797","256,765","259,532","261,286","262,625","265,204","267,322","268,786","272,480","275,602","279,209","281,204"
".Modoc County, California","9,686","9,696","9,501","9,336","9,123","9,037","9,015","8,898","8,795","8,738","8,778","8,703"
