" ","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"Crimes","","","","","","","","","",""
"Violent Crimes","311,923","330,916","345,508","336,100","318,946","304,998","274,675","257,409","229,766","207,874"
"Homicide","3,562","3,876","3,920","4,095","3,699","3,530","2,910","2,579","2,170","2,006"
"Rape (Forcible Rape prior to 2014)","12,716","12,942","12,751","11,754","10,960","10,550","10,238","10,182","9,777","9,443"
"Rape","9,786","10,090","10,125","9,407","8,933","8,646","8,303","8,292","7,939","7,757"
"Attempted Rape","2,930","2,852","2,626","2,347","2,027","1,904","1,935","1,890","1,838","1,686"
"Robbery","112,460","125,105","130,867","126,347","112,149","104,581","94,137","81,413","68,752","60,027"
"Weapon","","","","","","","","","",""
"Firearm","38,658","44,933","50,121","51,901","44,472","40,308","37,168","31,193","23,799","19,912"
"Knife or Cutting Instrument","15,217","15,128","14,122","12,786","11,007","12,937","9,116","7,795","6,857","6,091"
"Other Weapon","9,799","13,672","15,900","15,179","13,833","8,261","8,614","7,340","6,699","5,861"
"Strong-Arm","48,786","51,372","50,724","46,481","42,837","43,075","39,239","35,085","31,397","28,163"
"Location","","","","","","","","","",""
"Highway","61,450","66,978","69,432","65,409","57,658","55,035","45,987","39,089","31,866","28,271"
"Commercial","15,175","17,228","18,566","19,512","17,667","15,222","14,986","13,600","11,277","9,817"
"Gas Station","2,743","3,007","3,319","3,213","2,650","2,485","2,288","1,783","1,533","1,339"
"Convenience Store","5,555","6,496","6,227","6,115","5,287","4,577","4,160","3,419","3,270","2,607"
"Residence","8,633","10,077","9,941","9,861","9,066","8,137","7,921","7,262","6,150","5,391"
"Bank","2,985","3,744","4,099","3,460","2,590","2,360","2,423","1,812","1,611","1,474"
"Miscellaneous","15,919","17,575","19,283","18,777","17,231","16,765","16,372","14,448","13,045","11,128"
"Aggravated Assault","183,185","188,993","197,970","193,904","192,138","186,337","167,390","163,235","149,067","136,398"
"Weapon","","","","","","","","","",""
"Firearm","37,125","40,063","43,635","44,881","39,334","36,760","30,868","25,812","21,641","19,044"
"Knife or Cutting Instrument","26,034","24,878","24,943","24,332","24,233","23,810","21,306","20,771","19,364","17,629"
"Other Weapon","52,914","54,307","55,762","52,234","53,649","53,211","52,019","50,934","46,290","42,924"
"Hands  Fists  Feet","67,112","69,745","73,630","72,457","74,922","72,556","63,197","65,718","61,772","56,801"
