County,Year,Violent Crimes,Property Crimes,Population
Alameda,2000,0.0,0.0,1448768
Alameda,2001,0.0,0.0,1465564
Alameda,2002,0.0,0.0,1468468
Alameda,2003,0.0,0.0,1467187
Alameda,2004,0.0,0.0,1465540
Alameda,2005,0.0,0.0,1459882
Alameda,2006,0.0,0.0,1464839
Alameda,2007,0.0,0.0,1476401
Alameda,2008,0.0,0.0,1491781
Alameda,2009,0.0,0.0,1503827
Alameda,2010,0.0,0.0,1516617
Alameda,2011,0.0,0.0,1535986
Alameda,2012,0.0,0.0,1560713
Alameda,2013,0.0,0.0,1584064
Alameda,2014,0.0,0.0,1608614
Alameda,2014,0.0,0.0,1608614
Alameda,2015,0.0,0.0,1630159
Alameda,2016,0.0,0.0,1647332
Alameda,2017,0.0,0.0,1659750
Alameda,2018,0.0,0.0,1669659
Alameda,2019,0.0,0.0,1678926
Alameda,2020,0.0,0.0,1679664
Alameda,2021,0.0,0.0,1655767
Alameda,2022,0.0,0.0,1645265
Alameda,2023,0.0,0.0,1644199
Alpine,2000,10.0,77.0,1203
Alpine,2001,8.0,121.0,1237
Alpine,2002,9.0,122.0,1248
Alpine,2003,3.0,102.0,1249
Alpine,2004,11.0,82.0,1266
Alpine,2005,7.0,97.0,1208
Alpine,2006,13.0,88.0,1255
Alpine,2007,15.0,74.0,1248
Alpine,2008,14.0,73.0,1208
Alpine,2009,13.0,62.0,1180
Alpine,2010,10.0,77.0,1177
Alpine,2011,7.0,105.0,1181
Alpine,2012,8.0,43.0,1186
Alpine,2013,6.0,33.0,1193
Alpine,2014,4.0,24.0,1199
Alpine,2014,4.0,24.0,1199
Alpine,2015,9.0,35.0,1201
Alpine,2016,6.0,34.0,1207
Alpine,2017,13.0,32.0,1211
Alpine,2018,12.0,29.0,1208
Alpine,2019,13.0,32.0,1205
Alpine,2020,19.0,14.0,1202
Alpine,2021,19.0,23.0,1181
Alpine,2022,11.0,25.0,1177
Alpine,2023,9.0,10.0,1166
Amador,2000,179.0,674.0,35205
Amador,2001,141.0,887.0,35784
Amador,2002,146.0,941.0,36535
Amador,2003,117.0,929.0,36776
Amador,2004,121.0,0.0,37147
Amador,2005,140.0,0.0,37722
Amador,2006,131.0,844.0,37964
Amador,2007,154.0,831.0,38085
Amador,2008,127.0,0.0,37864
Amador,2009,107.0,856.0,37905
Amador,2010,110.0,840.0,37714
Amador,2011,98.0,972.0,37122
Amador,2012,130.0,797.0,36903
Amador,2013,100.0,798.0,36561
Amador,2014,81.0,629.0,36930
Amador,2014,81.0,629.0,36930
Amador,2015,84.0,602.0,36905
Amador,2016,92.0,669.0,37929
Amador,2017,115.0,649.0,38549
Amador,2018,118.0,596.0,40038
Amador,2019,110.0,670.0,40279
Amador,2020,156.0,582.0,40391
Amador,2021,135.0,716.0,40224
Amador,2022,136.0,500.0,40073
Amador,2023,101.0,392.0,40028
Butte,2000,699.0,0.0,203446
Butte,2001,629.0,0.0,205730
Butte,2002,542.0,0.0,208154
Butte,2003,693.0,0.0,210623
Butte,2004,752.0,0.0,212212
Butte,2005,752.0,0.0,213698
Butte,2006,787.0,0.0,215684
Butte,2007,977.0,0.0,217115
Butte,2008,836.0,0.0,218485
Butte,2009,932.0,0.0,219287
Butte,2010,762.0,0.0,220619
Butte,2011,576.0,0.0,222149
Butte,2012,684.0,0.0,224316
Butte,2013,634.0,0.0,225544
Butte,2014,678.0,0.0,227830
