County,Year,Population
Alameda             ,2000,1443939
Alpine              ,2000,1208
Amador              ,2000,35100
Butte               ,2000,203171
Calaveras           ,2000,40554
Colusa              ,2000,18804
Contra Costa        ,2000,948816
Del Norte,2000,27507
El Dorado           ,2000,156299
Fresno              ,2000,799407
Glenn               ,2000,26453
Humboldt            ,2000,126518
Imperial            ,2000,142361
Inyo                ,2000,18071
Kern                ,2000,661653
Kings               ,2000,129461
Lake                ,2000,58325
Lassen              ,2000,33828
Los Angeles ,2000,9519330
Madera              ,2000,123109
Marin               ,2000,247289
Mariposa            ,2000,17130
Mendocino           ,2000,86265
Merced              ,2000,210554
Modoc               ,2000,9449
Mono                ,2000,12853
Monterey            ,2000,401762
Napa                ,2000,124279
Nevada              ,2000,92033
Orange              ,2000,2846289
Placer              ,2000,248399
Plumas              ,2000,20824
Riverside           ,2000,1545387
Sacramento,2000,1223499
San Benito  ,2000,53234
San Bernardino    ,2000,1710139
San Diego           ,2000,2813833
San Francisco,2000,776733
San Joaquin,2000,563598
San Luis Obispo     ,2000,246681
San Mateo           ,2000,707163
Santa Barbara       ,2000,399347
Santa Clara         ,2000,1682585
Santa Cruz          ,2000,255602
Shasta              ,2000,163256
Sierra              ,2000,3555
Siskiyou            ,2000,44301
Solano              ,2000,394930
Sonoma              ,2000,458614
Stanislaus          ,2000,446997
Sutter              ,2000,78930
Tehama              ,2000,56039
Trinity             ,2000,13022
Tulare              ,2000,368021
Tuolumne            ,2000,54504
Ventura             ,2000,753197
Yolo                ,2000,168660
Yuba                ,2000,60219
State Total,2000,33873086
Alameda             ,2001,1457185
Alpine              ,2001,1220
Amador              ,2001,35495
Butte               ,2001,204591
Calaveras           ,2001,41042
Colusa              ,2001,18974
Contra Costa        ,2001,962076
Del Norte,2001,27434
El Dorado           ,2001,160079
Fresno              ,2001,808611
Glenn               ,2001,26584
Humboldt            ,2001,127011
Imperial            ,2001,143941
Inyo                ,2001,18162
Kern                ,2001,672004
Kings               ,2001,131100
Lake                ,2001,59260
Lassen              ,2001,33763
Los Angeles ,2001,9590080
Madera              ,2001,125359
Marin               ,2001,247590
Mariposa            ,2001,17163
Mendocino           ,2001,86825
Merced              ,2001,214203
Modoc               ,2001,9473
Mono                ,2001,13034
Monterey            ,2001,404569
Napa                ,2001,125396
Nevada              ,2001,92693
Orange              ,2001,2871926
Placer              ,2001,258293
Plumas              ,2001,20681
Riverside           ,2001,1589708
Sacramento,2001,1248072
San Benito  ,2001,54165
San Bernardino    ,2001,1741416
San Diego           ,2001,2849238
San Francisco,2001,780614
San Joaquin,2001,578121
San Luis Obispo     ,2001,249687
San Mateo           ,2001,707965
Santa Barbara       ,2001,401667
Santa Clara         ,2001,1690366
Santa Cruz          ,2001,256031
Shasta              ,2001,165590
Sierra              ,2001,3603
Siskiyou            ,2001,44331
Solano              ,2001,399476
Sonoma              ,2001,462958
Stanislaus          ,2001,456423
Sutter              ,2001,79722
Tehama              ,2001,56149
Trinity             ,2001,12961
Tulare              ,2001,371479
Tuolumne            ,2001,54957
Ventura             ,2001,762944
Yolo                ,2001,172450
Yuba                ,2001,60879
State Total,2001,34256789
Alameda             ,2002,1467063
Alpine              ,2002,1242
Amador              ,2002,36159
Butte               ,2002,206942
Calaveras           ,2002,41773
Colusa              ,2002,19229
Contra Costa        ,2002,974657
Del Norte,2002,27517
El Dorado           ,2002,163300
Fresno              ,2002,821809
Glenn               ,2002,26702
Humboldt            ,2002,128052
Imperial            ,2002,145954
Inyo                ,2002,18311
Kern                ,2002,688063
Kings               ,2002,133551
Lake                ,2002,60525
Lassen              ,2002,33628
Los Angeles ,2002,9679212
Madera              ,2002,127469
Marin               ,2002,247567
Mariposa            ,2002,17365
Mendocino           ,2002,87326
Merced              ,2002,220018
Modoc               ,2002,9417
Mono                ,2002,13298
Monterey            ,2002,407440
Napa                ,2002,127064
Nevada              ,2002,94048
Orange              ,2002,2902207
Placer              ,2002,270845
Plumas              ,2002,20702
Riverside           ,2002,1655291
Sacramento,2002,1279588
San Benito  ,2002,54948
San Bernardino    ,2002,1782268
San Diego           ,2002,2890256
San Francisco,2002,782765
San Joaquin,2002,596039
San Luis Obispo     ,2002,252604
San Mateo           ,2002,706213
Santa Barbara       ,2002,404794
Santa Clara         ,2002,1693230
Santa Cruz          ,2002,255890
Shasta              ,2002,168304
Sierra              ,2002,3576
Siskiyou            ,2002,44331
Solano              ,2002,404895
Sonoma              ,2002,465726
Stanislaus          ,2002,468340
Sutter              ,2002,81086
Tehama              ,2002,56873
Trinity             ,2002,13061
Tulare              ,2002,377666
Tuolumne            ,2002,55619
Ventura             ,2002,774438
Yolo                ,2002,177180
Yuba                ,2002,62080
State Total,2002,34725516
Alameda             ,2003,1467892
Alpine              ,2003,1248
Amador              ,2003,36656
Butte               ,2003,209389
Calaveras           ,2003,42651
Colusa              ,2003,19538
Contra Costa        ,2003,984256
Del Norte,2003,27744
El Dorado           ,2003,166195
Fresno              ,2003,837256
Glenn               ,2003,26974
Humboldt            ,2003,129468
Imperial            ,2003,149041
Inyo                ,2003,18461
Kern                ,2003,707111
Kings               ,2003,136710
Lake                ,2003,61492
Lassen              ,2003,33828
Los Angeles ,2003,9756914
Madera              ,2003,130641
Marin               ,2003,247342
Mariposa            ,2003,17612
Mendocino           ,2003,87764
Merced              ,2003,225946
Modoc               ,2003,9456
Mono                ,2003,13478
Monterey            ,2003,410276
Napa                ,2003,128683
Nevada              ,2003,95277
Orange              ,2003,2927118
Placer              ,2003,283703
Plumas              ,2003,20722
Riverside           ,2003,1730219
Sacramento,2003,1307189
San Benito  ,2003,55330
San Bernardino    ,2003,1825379
San Diego           ,2003,2927216
San Francisco,2003,782599
San Joaquin,2003,612295
San Luis Obispo     ,2003,254583
San Mateo           ,2003,704014
Santa Barbara       ,2003,407828
Santa Clara         ,2003,1693752
Santa Cruz          ,2003,255368
Shasta              ,2003,170782
Sierra              ,2003,3555
Siskiyou            ,2003,44491
Solano              ,2003,407882
Sonoma              ,2003,467139
Stanislaus          ,2003,478283
Sutter              ,2003,83018
Tehama              ,2003,57847
Trinity             ,2003,13273
Tulare              ,2003,385769
Tuolumne            ,2003,56177
Ventura             ,2003,784632
Yolo                ,2003,180798
Yuba                ,2003,63349
State Total,2003,35163609
Alameda             ,2004,1466407
Alpine              ,2004,1257
Amador              ,2004,36961
Butte               ,2004,211419
Calaveras           ,2004,43554
Colusa              ,2004,19933
Contra Costa        ,2004,993958
Del Norte,2004,28029
El Dorado           ,2004,168984
Fresno              ,2004,853057
Glenn               ,2004,27210
Humboldt            ,2004,130712
Imperial            ,2004,152420
Inyo                ,2004,18533
Kern                ,2004,728872
Kings               ,2004,140688
Lake                ,2004,62307
Lassen              ,2004,34313
Los Angeles ,2004,9806944
Madera              ,2004,134645
Marin               ,2004,246990
Mariposa            ,2004,17818
Mendocino           ,2004,88130
Merced              ,2004,232356
Modoc               ,2004,9556
Mono                ,2004,13650
Monterey            ,2004,411544
Napa                ,2004,129814
Nevada              ,2004,96540
Orange              ,2004,2948135
Placer              ,2004,296712
Plumas              ,2004,20824
Riverside           ,2004,1814485
Sacramento,2004,1331910
San Benito  ,2004,55374
San Bernardino    ,2004,1875063
San Diego           ,2004,2953703
San Francisco,2004,781308
San Joaquin,2004,629787
San Luis Obispo     ,2004,257045
San Mateo           ,2004,702254
Santa Barbara       ,2004,410357
Santa Clara         ,2004,1695602
Santa Cruz          ,2004,254986
Shasta              ,2004,172729
Sierra              ,2004,3506
Siskiyou            ,2004,44691
Solano              ,2004,410164
Sonoma              ,2004,469103
Stanislaus          ,2004,486639
Sutter              ,2004,85097
Tehama              ,2004,58953
Trinity             ,2004,13453
Tulare              ,2004,395127
Tuolumne            ,2004,56407
Ventura             ,2004,792213
Yolo                ,2004,184015
Yuba                ,2004,64604
State Total,2004,35570847
Alameda             ,2005,1462736
Alpine              ,2005,1237
Amador              ,2005,37434
Butte               ,2005,212955
Calaveras           ,2005,44348
Colusa              ,2005,20374
Contra Costa        ,2005,1001216
Del Norte,2005,28251
El Dorado           ,2005,171739
Fresno              ,2005,866058
Glenn               ,2005,27394
Humboldt            ,2005,131467
Imperial            ,2005,155793
Inyo                ,2005,18511
Kern                ,2005,750969
Kings               ,2005,143607
Lake                ,2005,62870
Lassen              ,2005,34552
Los Angeles ,2005,9816153
Madera              ,2005,138174
Marin               ,2005,246688
Mariposa            ,2005,17965
Mendocino           ,2005,88129
Merced              ,2005,238069
Modoc               ,2005,9595
Mono                ,2005,13763
Monterey            ,2005,409557
Napa                ,2005,130472
Nevada              ,2005,97454
Orange              ,2005,2956847
Placer              ,2005,307710
Plumas              ,2005,20880
Riverside           ,2005,1895695
Sacramento,2005,1350523
San Benito  ,2005,55221
San Bernardino    ,2005,1921423
San Diego           ,2005,2966783
San Francisco,2005,780187
San Joaquin,2005,645059
San Luis Obispo     ,2005,259213
San Mateo           ,2005,700350
