Enrollment Month,Plan Type,County,Plan Name, Count of Enrollees ,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2007-01,COHS,Orange,CalOPTIMA / Orange,"293,311",None,None
2007-01,COHS,Monterey,Central California Alliance for Health/Monterey,"53,819",None,None
2007-01,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"30,653",None,None
2007-01,COHS,San Mateo,Hlth Plan of San Mateo,"49,791",None,None
2007-01,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,515",None,None
2007-01,COHS,Napa,Partnership HP of CA/Napa,"10,788",None,None
2007-01,COHS,Solano,Partnership HP of CA/Solano,"51,874",None,None
2007-01,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,248",None,None
2007-01,Dental,Los Angeles,Access Dental Plan/LA,"61,119",None,None
2007-01,Dental,Sacramento,Access Dental Plan/Sacto,"50,974",None,None
2007-01,Dental,Los Angeles,American Health Guard - Dental/LA,"15,430",None,None
2007-01,Dental,Los Angeles,Care1st Health Plan Dental,"15,820",None,None
2007-01,Dental,San Bernardino,Care1st Health Plan Dental,208,None,None
2007-01,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,202",None,None
2007-01,Dental,Sacramento,Community Dental Svcs./Sacto,"13,220",None,None
2007-01,Dental,Los Angeles,Health Net of California,"30,568",None,None
2007-01,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"5,549",None,None
2007-01,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,018",None,None
2007-01,Dental,Los Angeles,Safeguard Dental Inc.,"28,905",None,None
2007-01,Dental,Riverside,Safeguard Dental Inc.,129,None,None
2007-01,Dental,San Bernardino,Safeguard Dental Inc.,772,None,None
2007-01,Dental,Riverside,Western Dental Svcs (Riverside),266,None,None
2007-01,Dental,San Bernardino,Western Dental Svcs (San Bernardino),569,None,None
2007-01,Dental,Los Angeles,Western Dental Svcs/LA,"53,277",None,None
2007-01,Dental,Sacramento,Western Dental Svcs/Sacto,"74,173",None,None
2007-01,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"82,233",None,None
2007-01,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,"25,608",None,None
2007-01,Geographic Managed Care,Sacramento,Care 1st Healthplan,"4,300",None,None
2007-01,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"2,627",None,None
2007-01,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"70,093",None,None
2007-01,Geographic Managed Care,Sacramento,Health Net/Sac,"27,891",None,None
2007-01,Geographic Managed Care,San Diego ,Health Net/San Diego,"15,422",None,None
2007-01,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"19,657",None,None
2007-01,Geographic Managed Care,San Diego ,Kaiser/San Diego,"9,663",None,None
2007-01,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"15,986",None,None
2007-01,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"45,366",None,None
2007-01,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,"12,260",None,None
2007-01,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-01,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,933,None,None
2007-01,Prepaid Health Plan,Marin,Kaiser/Marin,598,None,None
2007-01,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,"1,452",None,None
2007-01,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,802,None,None
2007-01,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,593",None,None
2007-01,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,509,None,None
2007-01,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,242,None,None
2007-01,SCAN,Los Angeles,SCAN Hlth Plan / LA,"2,265",None,None
2007-01,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,570,None,None
2007-01,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,268,None,None
2007-01,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,396,None,None
2007-01,Special Project,Contra Costa,Center for Elders Independence,26,None,None
2007-01,Special Project,Alameda,Cntr Elders Indep/Alameda,372,None,None
