county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00001,Alameda,41273,13797,27476,33.4,3.8,2008
00001,Alameda,72387,22016,50371,30.4,3.3,2008
00001,Alameda,141368,41050,100318,29.0,2.4,2008
00001,Alameda,228803,54292,174511,23.7,1.8,2008
00001,Alameda,512649,61394,451255,12.0,0.8,2008
00001,Alameda,90008,28943,61065,32.2,2.6,2008
00001,Alameda,118243,35783,82460,30.3,2.3,2008
00001,Alameda,56540,18531,38009,32.8,3.1,2008
00001,Alameda,204271,48514,155756,23.8,1.6,2008
00001,Alameda,250275,31195,219080,12.5,1.2,2008
00001,Alameda,54481,17199,37281,31.6,3.3,2008
00001,Alameda,107662,24571,83091,22.8,2.2,2008
00001,Alameda,96609,23943,72665,24.8,2.3,2008
00001,Alameda,262374,30199,232175,11.5,1.1,2008
00001,Alameda,48735,15146,33589,31.1,3.6,2008
00001,Alameda,63762,18584,45178,29.1,3.1,2008
00001,Alameda,31127,9887,21239,31.8,4.3,2008
00001,Alameda,369751,25332,344419,6.9,1.0,2008
00001,Alameda,109215,14682,94533,13.4,2.4,2008
00001,Alameda,139357,17752,121604,12.7,2.1,2008
00001,Alameda,71611,9745,61866,13.6,2.8,2008
00001,Alameda,109859,33469,76389,30.5,2.8,2008
00001,Alameda,210959,22215,188744,10.5,1.6,2008
00001,Alameda,25413,8643,16769,34.0,4.5,2008
00001,Alameda,482980,66888,416092,13.8,1.0,2008
00001,Alameda,1310473,173312,1137161,13.2,0.6,2008
00001,Alameda,60475,23096,37378,38.2,3.7,2008
00001,Alameda,309609,83503,226106,27.0,1.6,2008
00001,Alameda,400120,103289,296831,25.8,1.4,2008
00001,Alameda,200352,53846,146506,26.9,1.9,2008
00001,Alameda,643750,138841,504909,21.6,1.0,2008
00001,Alameda,656881,95915,560966,14.6,0.9,2008
00001,Alameda,148185,43667,104518,29.5,2.4,2008
00001,Alameda,193533,54634,138899,28.2,2.1,2008
00001,Alameda,94325,27553,66772,29.2,2.8,2008
00001,Alameda,317261,75216,242045,23.7,1.5,2008
00001,Alameda,653592,77397,576195,11.8,0.8,2008
00001,Alameda,161425,39837,121588,24.7,2.2,2008
00001,Alameda,215969,65015,150954,30.1,2.0,2008
00001,Alameda,106027,26293,79733,24.8,2.5,2008
00001,Alameda,326489,63625,262864,19.5,1.4,2008
00001,Alameda,960819,151047,809773,15.7,0.8,2008
00001,Alameda,206425,70446,135978,34.1,2.1,2008
00001,Alameda,268489,87548,180940,32.6,1.8,2008
00001,Alameda,132861,45112,87749,34.0,2.5,2008
00001,Alameda,444773,119307,325465,26.8,1.3,2008
00001,Alameda,477840,84159,393681,17.6,1.2,2008
00001,Alameda,96566,36977,59589,38.3,3.2,2008
00001,Alameda,127120,46498,80622,36.6,2.8,2008
00001,Alameda,206588,48655,157932,23.6,1.9,2008
00003,Alpine,191,51,140,26.6,3.2,2008
00003,Alpine,43,19,24,44.9,6.1,2008
00003,Alpine,103,38,66,36.5,4.4,2008
00003,Alpine,77,31,46,40.1,4.9,2008
00003,Alpine,108,40,68,36.9,6.7,2008
00003,Alpine,218,58,160,26.7,4.5,2008
00003,Alpine,64,26,38,40.8,8.2,2008
00003,Alpine,139,47,92,33.9,6.0,2008
00003,Alpine,193,33,160,17.3,3.0,2008
00003,Alpine,372,62,310,16.6,2.2,2008
00003,Alpine,37,16,22,42.1,6.8,2008
00003,Alpine,53,18,34,34.7,5.9,2008
00003,Alpine,20,10,11,47.0,8.3,2008
00003,Alpine,96,27,69,28.0,4.5,2008
00003,Alpine,179,28,151,15.8,2.9,2008
00003,Alpine,40,15,24,38.3,6.7,2008
00003,Alpine,22,10,13,43.0,8.3,2008
00003,Alpine,95,24,71,25.3,4.3,2008
00003,Alpine,231,33,198,14.3,3.2,2008
00003,Alpine,99,20,79,20.2,5.0,2008
00003,Alpine,129,23,106,18.1,4.3,2008
00003,Alpine,335,65,270,19.5,3.3,2008
00003,Alpine,185,30,156,16.0,3.6,2008
00003,Alpine,51,19,31,38.4,6.0,2008
00003,Alpine,55,11,44,19.7,5.9,2008
00003,Alpine,246,80,166,32.6,4.7,2008
00003,Alpine,148,61,86,41.6,6.1,2008
00003,Alpine,61,31,31,49.8,8.2,2008
00003,Alpine,939,187,751,20.0,2.1,2008
00003,Alpine,311,107,203,34.6,3.8,2008
00003,Alpine,407,129,277,31.8,3.4,2008
00003,Alpine,176,66,110,37.5,4.7,2008
00003,Alpine,636,164,471,25.9,2.7,2008
00003,Alpine,157,59,98,37.7,5.2,2008
00003,Alpine,208,72,136,34.6,4.6,2008
00003,Alpine,87,35,51,40.8,6.3,2008
00003,Alpine,333,93,239,28.0,3.7,2008
00003,Alpine,440,80,361,18.1,2.7,2008
00003,Alpine,498,108,391,21.6,2.9,2008
00003,Alpine,199,57,141,28.9,4.5,2008
00003,Alpine,154,48,105,31.5,5.1,2008
00003,Alpine,391,93,298,23.8,3.5,2008
00003,Alpine,464,138,326,29.8,3.4,2008
00003,Alpine,125,57,69,45.2,6.2,2008
